iter	Logloss
0	0.6894851098
1	0.6836966001
2	0.676717318
3	0.6731149967
4	0.6679358116
5	0.6632119692
6	0.6603409694
7	0.6553325653
8	0.6483232058
9	0.6451986019
10	0.6382502042
11	0.6337500352
12	0.6295375824
13	0.6253267435
14	0.6203625752
15	0.6137507145
16	0.6087395595
17	0.604469226
18	0.5994877815
19	0.5956717271
20	0.5898631903
21	0.585416427
22	0.5811794721
23	0.5760222215
24	0.5723999464
25	0.5676768009
26	0.5638003349
27	0.5608692169
28	0.5573793191
29	0.5526213279
30	0.5498413673
31	0.5463225658
32	0.5427326056
33	0.5387659806
34	0.5349329435
35	0.5310132687
36	0.5291997103
37	0.5255724467
38	0.5225394322
39	0.5187757199
40	0.5153399981
41	0.5121293435
42	0.5086864692
43	0.5055327782
44	0.5020067508
45	0.5005595867
46	0.4984040627
47	0.4946666864
48	0.4924925657
49	0.4889487853
50	0.4869531485
51	0.4833343212
52	0.4805620634
53	0.4779207523
54	0.4739243434
55	0.4715414047
56	0.4681932743
57	0.465392773
58	0.4628480398
59	0.4596754221
60	0.4565934401
61	0.4547668604
62	0.4516094648
63	0.4501514802
64	0.4475495632
65	0.4442015061
66	0.440607291
67	0.4379238716
68	0.4346573536
69	0.4318586496
70	0.429974666
71	0.4281476094
72	0.4258097869
73	0.4234471321
74	0.4211365626
75	0.4186537082
76	0.4169251735
77	0.4138489503
78	0.4123579172
79	0.4099369783
80	0.4086674177
81	0.4068260193
82	0.4045807031
83	0.4029557888
84	0.4014779971
85	0.3987066196
86	0.3970915354
87	0.3946363743
88	0.393034825
89	0.3911771041
90	0.3889438189
91	0.3868019764
92	0.3844602658
93	0.3821696868
94	0.3796529036
95	0.3778533202
96	0.3764056059
97	0.3739645298
98	0.3723301521
99	0.3706747935
