iter	Passed	Remaining
0	2	289
1	6	302
2	7	248
3	10	244
4	13	253
5	15	237
6	17	226
7	19	218
8	20	210
9	22	202
10	24	197
11	26	192
12	27	186
13	30	188
14	33	187
15	36	189
16	37	184
17	39	180
18	42	181
19	44	177
20	46	173
21	47	170
22	49	166
23	52	165
24	54	162
25	55	157
26	56	153
27	58	150
28	59	145
29	60	141
30	61	137
31	62	133
32	63	129
33	65	126
34	66	122
35	67	119
36	68	116
37	69	113
38	70	110
39	71	107
40	72	104
41	74	102
42	75	100
43	77	98
44	78	96
45	80	93
46	81	91
47	82	89
48	83	86
49	84	84
50	85	82
51	86	79
52	87	77
53	88	75
54	89	73
55	90	71
56	92	69
57	93	67
58	94	65
59	95	63
60	96	61
61	97	59
62	98	58
63	99	56
64	101	54
65	102	52
66	103	50
67	104	49
68	105	47
69	106	45
70	107	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	114	34
77	115	32
78	116	30
79	117	29
80	118	27
81	119	26
82	120	24
83	121	23
84	123	21
85	124	20
86	125	18
87	126	17
88	127	15
89	128	14
90	129	12
91	130	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	137	2
98	138	1
99	139	0
